6.62691	-7.72957
7.20358	-7.61517
7.34856	-7.59553
8.1512	-7.44691
7.94842	-7.48082
7.24576	-7.61252
8.05158	-7.45923
7.74654	-7.50957
8.01064	-7.46779
7.37441	-7.58728
6.97874	-7.6523
7.13711	-7.63656
6.82389	-7.68989
7.5121	-7.56086
8.21223	-7.43066
7.15342	-7.63029
7.87678	-7.50101
7.85586	-7.50429
6.81331	-7.69273
7.19848	-7.61402
8.29783	-7.41659
7.1524	-7.63141
7.16147	-7.63092
8.03002	-7.46709
7.69709	-7.51345
8.23441	-7.43112
8.18548	-7.4394
7.51071	-7.56055
7.18249	-7.6198
7.26911	-7.5974
7.86922	-7.4998
8.1067	-7.44814
7.62097	-7.54036
6.99744	-7.64908
7.46957	-7.56469
7.29682	-7.59957
7.47308	-7.56651
7.28495	-7.60073
7.5554	-7.54921
8.28548	-7.42673
6.99674	-7.65269
7.64517	-7.53919
7.14411	-7.62094
7.15357	-7.63147
7.87924	-7.49984
8.13152	-7.44712
7.28519	-7.60667
6.52875	-7.73742
7.24739	-7.61457
7.29779	-7.60333
7.93074	-7.49747
7.99012	-7.46599
8.25559	-7.42226
7.73961	-7.52628
6.63643	-7.72279
7.0976	-7.63894
7.04012	-7.64571
7.54095	-7.5501
8.89632	-7.31614
6.67471	-7.71045
7.35735	-7.58592
6.78873	-7.68265
7.98213	-7.47815
7.0188	-7.64636
8.14728	-7.44752
7.45802	-7.57244
7.38998	-7.57784
7.59712	-7.54248
7.43016	-7.57789
7.12532	-7.62806
7.30751	-7.59927
7.8284	-7.49607
7.56826	-7.54912
7.20585	-7.61771
7.16492	-7.62158
7.85944	-7.49845
7.78574	-7.49957
7.21876	-7.60939
7.83601	-7.50104
6.64238	-7.71899
7.98187	-7.46952
7.94936	-7.48373
7.99321	-7.47634
6.99779	-7.65394
8.41008	-7.39337
8.38309	-7.40095
7.04561	-7.64917
8.04576	-7.46297
8.75394	-7.33468
7.46045	-7.55001
7.99076	-7.4774
7.71729	-7.51563
8.06205	-7.45596
8.26606	-7.41021
7.72715	-7.52005
9.20301	-7.25744
8.3393	-7.41211
7.51646	-7.55479
7.83438	-7.51084
7.45926	-7.56883
